publication_date,source,title,url
2016-12-20,The Observer,"Two banks probed over Shs 8bn fraud, murder of Eritrean",https://observer.ug/news/two-banks-probed-over-shs-8bn-fraud-murder-of-eritrean/
2016-12-21,The Observer,Cement industry in huge leaps as public projects push up demand,https://observer.ug/business/cement-industry-in-huge-leaps-as-public-projects-push-up-demand/
2016-12-21,The Observer,Chinese company sues Govt,https://observer.ug/business/chinese-company-sues-govt/
2016-12-21,The Observer,Chinese firm CCCC aids St Mary’s College Kisubi,https://observer.ug/news/chinese-firm-cccc-aids-st-mary-s-college-kisubi/
2016-12-21,The Observer,Higher education council calls for govt support on compliance,https://observer.ug/news/higher-education-council-calls-for-govt-support-on-compliance/
2016-12-21,The Observer,Justice Kavuma amends his age,https://observer.ug/news/justice-kavuma-amends-his-age/
2016-12-21,The Observer,Limited government business as MPs break off again,https://observer.ug/news/limited-government-business-as-mps-break-off-again/
2016-12-21,The Observer,Mathias Nsubuga’s death: has DP’s bridge collapsed?,https://observer.ug/news/mathias-nsubuga-s-death-has-dp-s-bridge-collapsed/
2016-12-21,The Observer,Museveni meets Kasese elders,https://observer.ug/news/museveni-meets-kasese-elders/
2016-12-21,The Observer,"One year later, BATU hits back at tobacco law",https://observer.ug/business/one-year-later-batu-hits-back-at-tobacco-law/
2016-12-21,The Observer,Parliament halts UTL financial transactions,https://observer.ug/news/parliament-halts-utl-financial-transactions/
2016-12-21,The Observer,Praises pour in for Cardinal Wamala at 90,https://observer.ug/news/praises-pour-in-for-cardinal-wamala-at-90/
2016-12-21,The Observer,Residents protest against delayed Unra pay,https://observer.ug/business/residents-protest-against-delayed-unra-pay/
2016-12-21,The Observer,Review committee wants UBC overhauled,https://observer.ug/news/review-committee-wants-ubc-overhauled/
2016-12-21,The Observer,Three years later…recalling the night death captured Juba,https://observer.ug/news/three-years-later-recalling-the-night-death-captured-juba/
