month,source,pred_final,count
2021-11,The Observer,governance_oversight_failure,12
2021-11,The Observer,contract_management_failure,9
2021-12,The Observer,land_row_dispute,122
2021-12,The Observer,delay_time_overrun,57
2021-12,The Observer,procurement_irregularity,19
2021-12,The Observer,governance_oversight_failure,15
2021-12,The Observer,contract_management_failure,9
2021-12,The Observer,quality_technical_defect,9
2021-12,The Observer,payment_financial_dispute,3
2022-01,The Observer,land_row_dispute,75
2022-01,The Observer,delay_time_overrun,19
2022-01,The Observer,governance_oversight_failure,12
2022-01,The Observer,procurement_irregularity,12
2022-01,The Observer,quality_technical_defect,7
2022-01,The Observer,contract_management_failure,5
2022-01,The Observer,payment_financial_dispute,2
2022-02,The Observer,land_row_dispute,84
2022-02,The Observer,delay_time_overrun,27
2022-02,The Observer,procurement_irregularity,27
2022-02,The Observer,contract_management_failure,12
2022-02,The Observer,payment_financial_dispute,8
2022-02,The Observer,quality_technical_defect,8
2022-02,The Observer,governance_oversight_failure,5
2022-03,The Observer,land_row_dispute,98
2022-03,The Observer,delay_time_overrun,19
2022-03,The Observer,quality_technical_defect,11
2022-03,The Observer,procurement_irregularity,10
2022-03,The Observer,contract_management_failure,6
2022-03,The Observer,governance_oversight_failure,6
2022-04,The Observer,land_row_dispute,120
2022-04,The Observer,delay_time_overrun,41
2022-04,The Observer,quality_technical_defect,18
2022-04,The Observer,procurement_irregularity,16
2022-04,The Observer,contract_management_failure,10
2022-04,The Observer,payment_financial_dispute,6
2022-04,The Observer,governance_oversight_failure,4
2022-05,The Observer,land_row_dispute,144
2022-05,The Observer,delay_time_overrun,35
2022-05,The Observer,quality_technical_defect,20
2022-05,The Observer,governance_oversight_failure,11
2022-05,The Observer,procurement_irregularity,8
2022-05,The Observer,contract_management_failure,1
2022-06,The Observer,land_row_dispute,79
2022-06,The Observer,delay_time_overrun,21
2022-06,The Observer,payment_financial_dispute,8
2022-06,The Observer,contract_management_failure,7
2022-06,The Observer,quality_technical_defect,5
2022-06,The Observer,governance_oversight_failure,4
2022-07,The Observer,land_row_dispute,143
2022-07,The Observer,delay_time_overrun,35
2022-07,The Observer,contract_management_failure,9
2022-07,The Observer,quality_technical_defect,8
2022-07,The Observer,governance_oversight_failure,6
2022-07,The Observer,procurement_irregularity,5
