publication_date,title,url
2018-06-02,CNOOC Uganda takes oil and gas training to grassroots,https://observer.ug/business/cnooc-uganda-takes-oil-and-gas-training-to-grassroots/
2018-06-05,Govt to borrow $200m to renovate health centre IIIs,https://observer.ug/news/govt-to-borrow-200m-to-renovate-health-centre-iiis/
2018-06-10,Several injured in another tragic accident in Kiryandongo,https://observer.ug/news/several-injured-in-another-tragic-accident-in-kiryandongo/
2018-06-25,Basalirwa’s supporters ‘attacked’ in Bugiri by-election campaigns,https://observer.ug/news/basalirwa-s-supporters-attacked-in-bugiri-by-election-campaigns/
2018-06-26,Drop in HIV infections a relief for campaigners,https://observer.ug/news/drop-in-hiv-infections-a-relief-for-campaigners/
2018-07-01,"Social media tax: Telecoms to block VPNs, says UCC",https://observer.ug/news/social-media-tax-telecoms-to-block-vpns-says-ucc/
2018-07-09,Two killed in Mityana gambling brawl,https://observer.ug/news/two-killed-in-mityana-gambling-brawl/
2018-07-11,Fire destroys Greenhill Academy boys’ dormitory,https://observer.ug/news/fire-destroys-greenhill-academy-boys-dormitory/
2018-08-03,Govt hires experts to improve animal breeding,https://observer.ug/news/govt-hires-experts-to-improve-animal-breeding/
2018-08-07,"All traffic commanders in Kampala, Wakiso transferred",https://observer.ug/news/all-traffic-commanders-in-kampala-wakiso-transferred/
2018-08-10,"Youth decry sexual harassment in schools, workplaces",https://observer.ug/news/youth-decry-sexual-harassment-in-schools-workplaces/
2018-08-14,Opposition hooligans to blame for death of Bobi Wine’s driver – police,https://observer.ug/news/opposition-hooligans-to-blame-for-death-of-bobi-wine-s-driver-police/
2018-08-20,Lawyer Mabirizi challenges Bobi Wine trial in Army court,https://observer.ug/news/lawyer-mabirizi-challenges-bobi-wine-trial-in-army-court/
2018-08-29,Bobi Wine: The making of people power,https://observer.ug/news/bobi-wine-the-making-of-people-power/
2018-08-29,Govt feels donor heat over #FreeBobiWine,https://observer.ug/news/govt-feels-donor-heat-over-freebobiwine/
2018-08-30,Cervical cancer: HPV vaccine safe for girls – minister,https://observer.ug/news/cervical-cancer-hpv-vaccine-safe-for-girls-minister/
2018-08-31,Bobi Wine now ‘cleared’ to travel for treatment,https://observer.ug/news/bobi-wine-now-cleared-to-travel-for-treatment/
2018-09-03,Boda boda 2010’s Kitatta applies for bail again,https://observer.ug/news/boda-boda-2010-s-kitatta-applies-for-bail-again/
2018-09-03,"MP Zaake charged with treason, released on police bond",https://observer.ug/news/mp-zaake-charged-with-treason-released-on-police-bond/
2018-09-05,Be careful what you say to your child,https://observer.ug/news/be-careful-what-you-say-to-your-child/
2018-09-05,Mbale MP Connie Nakayenze says her life is in danger,https://observer.ug/news/mbale-mp-connie-nakayenze-says-her-life-is-in-danger/
2018-09-07,Invest in typical agricultural institutions – Prof Nhamo,https://observer.ug/business/invest-in-typical-agricultural-institutions-prof-nhamo/
2018-09-14,Airtel opens premium shop,https://observer.ug/business/airtel-opens-premium-shop/
2018-09-17,R.Nile accident death toll rises to 7,https://observer.ug/news/r-nile-accident-death-toll-rises-to-7/
2018-09-27,MPs question Defence officials on LDU recruitment,https://observer.ug/news/mps-question-defence-officials-on-ldu-recruitment/
2018-10-02,Makerere ordered to reinstate suspended Stella Nyanzi,https://observer.ug/news/makerere-ordered-to-reinstate-suspended-stella-nyanzi/
2018-10-29,Musisi’s successor must first sort public transport,https://observer.ug/business/musisi-s-successor-must-first-sort-public-transport/
2018-10-31,"Denied pension, Serubyale endures hunger for 38 years",https://observer.ug/news/denied-pension-serubyale-endures-hunger-for-38-years/
2018-11-01,Police foils People Power meeting in Bugweri,https://observer.ug/news/police-foils-people-power-meeting-in-bugweri/
2018-11-03,Uganda to deploy Ebola vaccine to health workers on DRC border,https://observer.ug/news/uganda-to-deploy-ebola-vaccine-to-health-workers-on-drc-border/
2018-11-07,Oil: Can local companies measure up to standards?,https://observer.ug/business/oil-can-local-companies-measure-up-to-standards/
2018-11-14,Road Fund prioritizes rural community access roads,https://observer.ug/business/road-fund-prioritizes-rural-community-access-roads/
2018-11-14,"Sports, the next big thing for investors",https://observer.ug/business/sports-the-next-big-thing-for-investors/
2018-11-14,"Uganda, Zimbabwe top in prostate cancer cases",https://observer.ug/news/uganda-zimbabwe-top-in-prostate-cancer-cases/
