actor,driver,region,sector
Umeme,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Other
Ministry of Finance,land_row_dispute,Central,Other
Parliament,land_row_dispute,Central,Other
Umeme,land_row_dispute,Eastern,Energy
Court,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Central,Roads/Transport
Police,land_row_dispute,Northern,Buildings/Housing
Government,land_row_dispute,Eastern,Energy
UEGCL,land_row_dispute,Eastern,Energy
Government,land_row_dispute,Northern,Land/Urban
Umeme,land_row_dispute,Cross-border,Roads/Transport
Court,contract_management_failure,Cross-border,Energy
Government,contract_management_failure,Cross-border,Energy
Umeme/ERA,contract_management_failure,Cross-border,Energy
Parliament,governance_oversight_failure,Central,Buildings/Housing
Court,land_row_dispute,Central,Energy
Government,land_row_dispute,Central,Energy
Ministry of Health,land_row_dispute,Central,Energy
Parliament,land_row_dispute,Central,Energy
President Museveni,land_row_dispute,Central,Energy
Court,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
KCCA,land_row_dispute,Central,Roads/Transport
Ministry of Finance,land_row_dispute,Central,Roads/Transport
Ministry of Works,land_row_dispute,Central,Roads/Transport
Parliament,land_row_dispute,Central,Roads/Transport
UNRA,land_row_dispute,Central,Roads/Transport
World Bank,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Roads/Transport
Government,governance_oversight_failure,Eastern,Energy
Ministry of Education,governance_oversight_failure,Eastern,Energy
Parliament,governance_oversight_failure,Eastern,Energy
Court,procurement_irregularity,Central,Land/Urban
Government,procurement_irregularity,Central,Land/Urban
KCCA,procurement_irregularity,Central,Land/Urban
NSSF,procurement_irregularity,Central,Land/Urban
URA,procurement_irregularity,Central,Land/Urban
Government,procurement_irregularity,Central,Roads/Transport
IGG,procurement_irregularity,Central,Roads/Transport
NEMA,procurement_irregularity,Central,Roads/Transport
Parliament,procurement_irregularity,Central,Roads/Transport
Police,procurement_irregularity,Central,Roads/Transport
UNRA,procurement_irregularity,Central,Roads/Transport
Umeme,land_row_dispute,Eastern,Energy
Court,delay_time_overrun,Cross-border,Energy
Government,delay_time_overrun,Cross-border,Energy
Parliament,delay_time_overrun,Cross-border,Energy
Police,delay_time_overrun,Cross-border,Energy
Government,land_row_dispute,Central,Buildings/Housing
Ministry of Education,land_row_dispute,Central,Buildings/Housing
Government,land_row_dispute,Central,Roads/Transport
Government,land_row_dispute,Central,Buildings/Housing
President Museveni,land_row_dispute,Central,Buildings/Housing
World Bank,land_row_dispute,Central,Buildings/Housing
KCCA,land_row_dispute,Central,Land/Urban
Police,land_row_dispute,Central,Land/Urban
URA,land_row_dispute,Central,Land/Urban
Government,land_row_dispute,Western,Roads/Transport
President Museveni,land_row_dispute,Western,Roads/Transport
